Day	 Suceptible	 Exposed	 Infected	 Total
0	999	0	1	1000
1	999	0	1	1000
2	998	1	1	1000
3	996	3	1	1000
4	996	3	1	1000
5	996	3	1	1000
6	997	3	0	1000
7	997	3	0	1000
8	997	3	0	1000
9	997	2	1	1000
10	995	4	1	1000
11	993	6	1	1000
12	992	7	1	1000
13	991	8	1	1000
14	991	6	3	1000
15	991	6	3	1000
16	990	7	3	1000
17	989	7	4	1000
18	986	9	5	1000
19	984	11	5	1000
20	983	12	5	1000
21	980	15	5	1000
22	977	17	6	1000
23	976	17	7	1000
24	973	21	6	1000
25	973	21	6	1000
26	971	22	7	1000
27	970	21	9	1000
28	970	19	11	1000
29	971	19	10	1000
30	970	20	10	1000
31	969	21	10	1000
32	966	24	10	1000
33	964	25	11	1000
34	962	24	14	1000
35	962	23	15	1000
36	958	25	17	1000
37	956	25	19	1000
38	953	29	18	1000
39	954	25	21	1000
40	951	28	21	1000
41	946	34	20	1000
42	939	41	20	1000
43	944	38	18	1000
44	940	42	18	1000
45	936	46	18	1000
46	934	46	20	1000
47	929	47	24	1000
48	921	54	25	1000
49	914	58	28	1000
50	909	61	30	1000
51	905	66	29	1000
52	897	72	31	1000
53	892	77	31	1000
54	887	78	35	1000
55	875	89	36	1000
56	874	90	36	1000
57	866	93	41	1000
58	860	95	45	1000
59	859	95	46	1000
60	856	94	50	1000
61	855	93	52	1000
62	843	102	55	1000
63	835	100	65	1000
64	829	101	70	1000
65	814	118	68	1000
66	806	126	68	1000
67	797	137	66	1000
68	793	135	72	1000
69	783	142	75	1000
70	771	145	84	1000
71	760	151	89	1000
72	756	155	89	1000
73	752	159	89	1000
74	744	169	87	1000
75	724	184	92	1000
76	710	197	93	1000
77	697	206	97	1000
78	692	207	101	1000
79	682	213	105	1000
80	668	221	111	1000
81	658	229	113	1000
82	646	238	116	1000
83	636	248	116	1000
84	628	255	117	1000
85	627	249	124	1000
86	622	257	121	1000
87	617	248	135	1000
88	606	257	137	1000
89	593	261	146	1000
90	587	262	151	1000
91	585	268	147	1000
92	590	270	140	1000
93	588	271	141	1000
94	583	272	145	1000
95	572	284	144	1000
96	564	286	150	1000
97	561	291	148	1000
98	546	304	150	1000
99	541	301	158	1000
100	532	300	168	1000
101	523	306	171	1000
102	517	304	179	1000
103	514	302	184	1000
104	513	299	188	1000
105	508	303	189	1000
106	497	314	189	1000
107	484	327	189	1000
108	478	332	190	1000
109	473	325	202	1000
110	462	330	208	1000
111	463	327	210	1000
112	455	327	218	1000
113	456	329	215	1000
114	451	339	210	1000
115	447	344	209	1000
116	450	343	207	1000
