Day, Suceptible, Exposed, Infected, Total
0, 1000, 0, 1, 1001
1, 999, 1, 1, 1001
2, 999, 1, 1, 1001
3, 998, 2, 1, 1001
4, 998, 2, 1, 1001
5, 998, 2, 1, 1001
6, 998, 2, 1, 1001
7, 998, 2, 1, 1001
8, 998, 2, 1, 1001
9, 997, 3, 1, 1001
10, 996, 4, 1, 1001
11, 995, 5, 1, 1001
12, 994, 6, 1, 1001
13, 994, 6, 1, 1001
14, 994, 7, 0, 1001
15, 994, 7, 0, 1001
16, 994, 7, 0, 1001
17, 994, 7, 0, 1001
18, 994, 7, 0, 1001
19, 994, 7, 0, 1001
20, 994, 7, 0, 1001
21, 994, 6, 1, 1001
22, 993, 7, 1, 1001
23, 993, 6, 2, 1001
24, 993, 6, 2, 1001
25, 993, 6, 2, 1001
26, 993, 6, 2, 1001
27, 992, 7, 2, 1001
28, 991, 8, 2, 1001
29, 991, 7, 3, 1001
30, 991, 6, 4, 1001
31, 989, 7, 5, 1001
32, 988, 7, 6, 1001
33, 987, 8, 6, 1001
34, 987, 7, 7, 1001
35, 986, 9, 6, 1001
36, 984, 11, 6, 1001
37, 982, 14, 5, 1001
38, 980, 16, 5, 1001
39, 980, 16, 5, 1001
40, 979, 17, 5, 1001
41, 978, 18, 5, 1001
42, 978, 17, 6, 1001
43, 978, 18, 5, 1001
44, 979, 18, 4, 1001
45, 978, 20, 3, 1001
46, 978, 21, 2, 1001
47, 978, 20, 3, 1001
48, 979, 19, 3, 1001
49, 978, 20, 3, 1001
50, 977, 21, 3, 1001
51, 975, 21, 5, 1001
52, 975, 20, 6, 1001
53, 972, 22, 7, 1001
54, 972, 22, 7, 1001
55, 970, 22, 9, 1001
56, 970, 21, 10, 1001
57, 968, 20, 13, 1001
58, 965, 21, 15, 1001
59, 963, 23, 15, 1001
60, 962, 23, 16, 1001
61, 960, 25, 16, 1001
62, 960, 26, 15, 1001
63, 960, 25, 16, 1001
64, 956, 29, 16, 1001
65, 955, 30, 16, 1001
66, 954, 31, 16, 1001
67, 951, 35, 15, 1001
68, 948, 38, 15, 1001
69, 947, 40, 14, 1001
70, 946, 42, 13, 1001
71, 945, 44, 12, 1001
72, 946, 45, 10, 1001
73, 944, 44, 13, 1001
74, 941, 48, 12, 1001
75, 938, 50, 13, 1001
76, 934, 53, 14, 1001
77, 933, 53, 15, 1001
78, 931, 52, 18, 1001
79, 931, 52, 18, 1001
80, 926, 57, 18, 1001
81, 920, 60, 21, 1001
82, 915, 64, 22, 1001
83, 912, 68, 21, 1001
84, 910, 67, 24, 1001
85, 908, 68, 25, 1001
86, 902, 72, 27, 1001
87, 900, 73, 28, 1001
88, 893, 77, 31, 1001
89, 887, 82, 32, 1001
90, 885, 82, 34, 1001
91, 882, 83, 36, 1001
92, 878, 89, 34, 1001
93, 870, 97, 34, 1001
94, 864, 100, 37, 1001
95, 855, 108, 38, 1001
96, 849, 111, 41, 1001
97, 840, 118, 43, 1001
98, 837, 123, 41, 1001
99, 833, 128, 40, 1001
100, 828, 129, 44, 1001
101, 821, 134, 46, 1001
102, 819, 134, 48, 1001
103, 811, 141, 49, 1001
104, 806, 146, 49, 1001
105, 805, 147, 49, 1001
106, 797, 150, 54, 1001
107, 791, 153, 57, 1001
108, 785, 156, 60, 1001
109, 781, 156, 64, 1001
110, 775, 163, 63, 1001
111, 768, 167, 66, 1001
112, 755, 175, 71, 1001
113, 741, 181, 79, 1001
114, 737, 184, 80, 1001
