Day, Suceptible, Exposed, Infected
0, 1000, 0, 1 
1, 1000, 0, 1 
2, 999, 1, 1 
3, 997, 3, 1 
4, 996, 2, 3 
5, 992, 6, 3 
6, 991, 4, 6 
7, 991, 2, 8 
8, 989, 2, 10 
9, 987, 2, 12 
10, 986, 1, 14 
11, 986, 1, 14 
12, 984, 4, 13 
13, 984, 3, 14 
14, 985, 3, 13 
15, 985, 4, 12 
16, 985, 5, 11 
17, 983, 4, 14 
18, 984, 4, 13 
19, 987, 2, 12 
20, 986, 3, 12 
21, 987, 0, 14 
22, 985, 2, 14 
23, 986, 1, 14 
24, 986, 2, 13 
25, 985, 4, 12 
26, 984, 1, 16 
27, 984, 2, 15 
28, 985, 2, 14 
29, 984, 3, 14 
30, 978, 9, 14 
31, 979, 3, 19 
32, 977, 4, 20 
33, 977, 7, 17 
34, 979, 4, 18 
35, 980, 5, 16 
36, 979, 6, 16 
37, 979, 5, 17 
38, 978, 4, 19 
39, 973, 8, 20 
40, 970, 10, 21 
41, 970, 8, 23 
42, 967, 8, 26 
43, 965, 9, 27 
44, 964, 9, 28 
45, 960, 7, 34 
46, 960, 5, 36 
47, 959, 5, 37 
48, 959, 6, 36 
49, 960, 8, 33 
50, 957, 7, 37 
51, 957, 8, 36 
52, 954, 10, 37 
53, 952, 10, 39 
54, 949, 12, 40 
55, 947, 12, 42 
56, 947, 10, 44 
57, 946, 9, 46 
58, 945, 9, 47 
59, 943, 10, 48 
60, 939, 10, 52 
61, 936, 11, 54 
62, 932, 12, 57 
63, 930, 9, 62 
64, 931, 9, 61 
65, 925, 13, 63 
66, 921, 14, 66 
67, 923, 10, 68 
68, 914, 15, 72 
69, 912, 12, 77 
70, 909, 12, 80 
71, 898, 18, 85 
72, 897, 15, 89 
73, 892, 17, 92 
74, 888, 18, 95 
75, 887, 15, 99 
76, 881, 27, 93 
77, 878, 23, 100 
78, 874, 22, 105 
79, 871, 20, 110 
80, 873, 16, 112 
81, 866, 19, 116 
82, 856, 28, 117 
83, 854, 23, 124 
84, 844, 31, 126 
85, 850, 25, 126 
86, 848, 17, 136 
87, 845, 24, 132 
88, 848, 22, 131 
89, 846, 29, 126 
90, 847, 26, 128 
91, 851, 23, 127 
92, 851, 24, 126 
93, 843, 22, 136 
94, 842, 17, 142 
95, 829, 28, 144 
96, 826, 23, 152 
97, 823, 25, 153 
98, 817, 32, 152 
99, 807, 38, 156 
100, 800, 35, 166 
101, 801, 27, 173 
102, 802, 25, 174 
103, 802, 31, 168 
104, 804, 29, 168 
105, 798, 28, 175 
106, 801, 29, 171 
107, 796, 34, 171 
108, 793, 30, 178 
109, 794, 27, 180 
110, 791, 34, 176 
111, 787, 33, 181 
112, 791, 26, 184 
113, 789, 30, 182 
114, 776, 33, 192 
115, 769, 30, 202 
116, 756, 38, 207 
117, 755, 39, 207 
118, 754, 40, 207 
119, 751, 44, 206 
120, 746, 47, 208 
121, 768, 31, 202 
122, 779, 30, 192 
123, 768, 42, 191 
124, 763, 41, 197 
125, 758, 43, 200 
126, 759, 32, 210 
127, 753, 36, 212 
128, 754, 39, 208 
129, 747, 40, 214 
130, 734, 49, 218 
131, 735, 37, 229 
132, 729, 35, 237 
133, 725, 35, 241 
134, 724, 34, 243 
135, 725, 30, 246 
136, 717, 32, 252 
137, 718, 39, 244 
138, 716, 36, 249 
139, 729, 35, 237 
140, 734, 31, 236 
141, 738, 33, 230 
142, 735, 35, 231 
143, 721, 51, 229 
144, 718, 47, 236 
145, 710, 48, 243 
146, 713, 45, 243 
147, 714, 44, 243 
148, 712, 40, 249 
149, 713, 42, 246 
150, 710, 43, 248 
151, 716, 41, 244 
152, 720, 39, 242 
153, 724, 35, 242 
154, 726, 36, 239 
155, 728, 37, 236 
156, 716, 42, 243 
157, 708, 40, 253 
158, 714, 37, 250 
159, 713, 36, 252 
160, 718, 32, 251 
161, 713, 35, 253 
162, 715, 32, 254 
163, 719, 41, 241 
164, 719, 33, 249 
165, 714, 35, 252 
166, 710, 38, 253 
167, 698, 42, 261 
168, 703, 31, 267 
169, 696, 34, 271 
170, 707, 34, 260 
171, 703, 38, 260 
172, 703, 33, 265 
173, 700, 39, 262 
174, 700, 39, 262 
175, 698, 30, 273 
176, 708, 32, 261 
177, 709, 39, 253 
178, 697, 49, 255 
179, 691, 43, 267 
180, 690, 39, 272 
181, 689, 39, 273 
182, 690, 35, 276 
183, 692, 34, 275 
184, 683, 40, 278 
185, 686, 26, 289 
186, 689, 38, 274 
187, 694, 41, 266 
188, 693, 34, 274 
189, 696, 43, 262 
190, 687, 46, 268 
191, 690, 40, 271 
192, 693, 40, 268 
193, 701, 35, 265 
194, 709, 33, 259 
195, 692, 49, 260 
196, 698, 46, 257 
197, 703, 38, 260 
198, 711, 36, 254 
199, 709, 45, 247 
200, 718, 43, 240 
201, 716, 43, 242 
202, 707, 40, 254 
203, 718, 36, 247 
204, 707, 40, 254 
205, 711, 34, 256 
206, 720, 30, 251 
207, 717, 29, 255 
208, 731, 22, 248 
209, 717, 39, 245 
210, 728, 25, 248 
211, 735, 20, 246 
212, 735, 34, 232 
213, 733, 40, 228 
214, 723, 47, 231 
215, 728, 43, 230 
