Day, Suceptible, Exposed, Infected, Total
0, 1000, 0, 1, 1001
1, 999.82, 0.18, 1, 1001
2, 999.6, 0.4, 1, 1001
3, 999.38, 0.62, 1, 1001
4, 999.08, 0.92, 1, 1001
5, 998.86, 1.14, 1, 1001
6, 998.68, 1.32, 1, 1001
7, 998.58, 1.42, 1, 1001
8, 998.34, 1.66, 1, 1001
9, 998.16, 1.84, 1, 1001
10, 998, 2, 1, 1001
11, 997.74, 2.26, 1, 1001
12, 997.6, 2.4, 1, 1001
13, 997.5, 2.5, 1, 1001
14, 998.4, 2.6, 0, 1001
15, 998.4, 2.6, 0, 1001
16, 998.4, 2.6, 0, 1001
17, 998.4, 2.6, 0, 1001
18, 998.4, 2.6, 0, 1001
19, 998.4, 2.6, 0, 1001
20, 998.4, 2.6, 0, 1001
21, 998.4, 2.42, 0.18, 1001
22, 998.34, 2.26, 0.4, 1001
23, 998.3, 2.08, 0.62, 1001
24, 998.2, 1.88, 0.92, 1001
25, 997.94, 1.92, 1.14, 1001
26, 997.6, 2.08, 1.32, 1001
27, 997.4, 2.18, 1.42, 1001
28, 997.18, 2.16, 1.66, 1001
29, 996.88, 2.28, 1.84, 1001
30, 996.42, 2.58, 2, 1001
31, 995.98, 2.76, 2.26, 1001
32, 995.56, 3.04, 2.4, 1001
33, 995.12, 3.38, 2.5, 1001
34, 994.48, 3.92, 2.6, 1001
35, 993.88, 4.7, 2.42, 1001
36, 993.62, 5.18, 2.2, 1001
37, 993.4, 5.62, 1.98, 1001
38, 993.46, 5.86, 1.68, 1001
39, 993.22, 6.32, 1.46, 1001
40, 993.16, 6.56, 1.28, 1001
41, 993.06, 6.76, 1.18, 1001
42, 993.02, 6.98, 1, 1001
43, 992.88, 7.26, 0.86, 1001
44, 992.96, 7.24, 0.8, 1001
45, 993.06, 7.14, 0.8, 1001
46, 993.08, 6.92, 1, 1001
47, 992.88, 7.02, 1.1, 1001
48, 992.74, 7.04, 1.22, 1001
49, 992.32, 7.16, 1.52, 1001
50, 991.9, 7.12, 1.98, 1001
51, 991.3, 7.28, 2.42, 1001
52, 990.74, 7.42, 2.84, 1001
53, 989.9, 7.82, 3.28, 1001
54, 989.26, 7.82, 3.92, 1001
55, 988.48, 7.82, 4.7, 1001
56, 987.74, 8.14, 5.12, 1001
57, 986.62, 8.86, 5.52, 1001
58, 985.46, 9.88, 5.66, 1001
59, 984.48, 10.66, 5.86, 1001
60, 983.56, 11.68, 5.76, 1001
61, 982.66, 12.58, 5.76, 1001
62, 981.6, 13.58, 5.82, 1001
63, 980.62, 14.54, 5.84, 1001
64, 979.92, 15.62, 5.46, 1001
65, 979.22, 16.6, 5.18, 1001
66, 978.66, 17.46, 4.88, 1001
67, 978.02, 18.24, 4.74, 1001
68, 977.4, 19.26, 4.34, 1001
69, 977.24, 19.78, 3.98, 1001
70, 976.8, 20.28, 3.92, 1001
71, 976.36, 20.56, 4.08, 1001
72, 975.86, 20.74, 4.4, 1001
73, 975.28, 20.94, 4.78, 1001
74, 974.2, 21.62, 5.18, 1001
75, 973.18, 22.06, 5.76, 1001
76, 972.04, 22.68, 6.28, 1001
77, 971.2, 22.68, 7.12, 1001
78, 969.94, 22.76, 8.3, 1001
79, 967.76, 23.86, 9.38, 1001
80, 966.3, 24.18, 10.52, 1001
81, 964.42, 25.26, 11.32, 1001
82, 961.96, 26.68, 12.36, 1001
83, 960.02, 27.76, 13.22, 1001
84, 958, 29.04, 13.96, 1001
85, 955.68, 30.82, 14.5, 1001
86, 953.94, 32.14, 14.92, 1001
87, 951.84, 34, 15.16, 1001
88, 948.7, 36.52, 15.78, 1001
89, 946.48, 38.58, 15.94, 1001
90, 944.44, 40.5, 16.06, 1001
91, 942.46, 42.76, 15.78, 1001
92, 940.22, 45.52, 15.26, 1001
93, 938.38, 47.56, 15.06, 1001
94, 936.68, 49.2, 15.12, 1001
95, 934.66, 51.1, 15.24, 1001
