Day, Suceptible, Exposed, Infected
0, 1000, 0, 1 
1, 1000, 0, 1 
2, 1000, 0, 1 
3, 997, 3, 1 
4, 996, 2, 3 
5, 996, 0, 5 
6, 995, 1, 5 
7, 996, 0, 5 
8, 996, 0, 5 
9, 996, 0, 5 
10, 995, 1, 5 
11, 994, 3, 4 
12, 993, 3, 5 
13, 993, 3, 5 
14, 992, 3, 6 
15, 992, 0, 9 
16, 989, 3, 9 
17, 989, 3, 9 
18, 990, 2, 9 
19, 992, 2, 7 
20, 992, 1, 8 
21, 991, 2, 8 
22, 991, 0, 10 
23, 990, 3, 8 
24, 989, 3, 9 
25, 988, 3, 10 
26, 988, 1, 12 
27, 986, 2, 13 
28, 988, 1, 12 
29, 988, 2, 11 
30, 987, 1, 13 
31, 987, 3, 11 
32, 984, 6, 11 
33, 982, 7, 12 
34, 983, 4, 14 
35, 979, 6, 16 
36, 976, 7, 18 
37, 977, 6, 18 
38, 977, 3, 21 
39, 977, 1, 23 
40, 976, 3, 22 
41, 971, 6, 24 
42, 971, 5, 25 
43, 970, 5, 26 
44, 969, 5, 27 
45, 967, 8, 26 
46, 963, 10, 28 
47, 965, 7, 29 
48, 965, 5, 31 
49, 966, 5, 30 
50, 965, 5, 31 
51, 964, 7, 30 
52, 962, 10, 29 
53, 961, 7, 33 
54, 959, 6, 36 
55, 956, 7, 38 
56, 957, 5, 39 
57, 959, 3, 39 
58, 956, 9, 36 
59, 956, 10, 35 
60, 954, 9, 38 
61, 957, 4, 40 
62, 958, 6, 37 
63, 956, 5, 40 
64, 951, 10, 40 
65, 951, 8, 42 
66, 947, 11, 43 
67, 945, 10, 46 
68, 949, 8, 44 
69, 947, 9, 45 
70, 948, 9, 44 
71, 942, 13, 46 
72, 940, 9, 52 
73, 937, 10, 54 
74, 933, 14, 54 
75, 931, 11, 59 
76, 929, 10, 62 
77, 923, 17, 61 
78, 922, 12, 67 
79, 919, 14, 68 
80, 915, 13, 73 
81, 910, 15, 76 
82, 909, 13, 79 
83, 908, 17, 76 
84, 911, 11, 79 
85, 901, 18, 82 
86, 898, 15, 88 
87, 898, 15, 88 
88, 898, 14, 89 
89, 894, 20, 87 
90, 892, 21, 88 
91, 889, 23, 89 
92, 880, 23, 98 
93, 872, 27, 102 
94, 865, 24, 112 
95, 865, 20, 116 
96, 863, 19, 119 
97, 857, 21, 123 
98, 852, 22, 127 
99, 850, 16, 135 
100, 844, 25, 132 
101, 838, 30, 133 
102, 828, 31, 142 
103, 815, 43, 143 
104, 818, 25, 158 
105, 813, 23, 165 
106, 805, 30, 166 
107, 811, 25, 165 
108, 806, 26, 169 
109, 806, 24, 171 
110, 805, 27, 169 
111, 799, 23, 179 
112, 800, 21, 180 
113, 797, 28, 176 
114, 797, 33, 171 
115, 802, 23, 176 
116, 794, 34, 173 
117, 788, 31, 182 
118, 779, 42, 180 
119, 781, 30, 190 
120, 783, 27, 191 
121, 791, 17, 193 
122, 783, 25, 193 
123, 785, 28, 188 
124, 787, 27, 187 
125, 789, 26, 186 
126, 787, 33, 181 
127, 791, 24, 186 
128, 788, 32, 181 
129, 784, 33, 184 
130, 781, 29, 191 
131, 775, 30, 196 
132, 777, 30, 194 
133, 773, 37, 191 
134, 785, 28, 188 
135, 785, 29, 187 
136, 776, 35, 190 
137, 780, 28, 193 
138, 771, 39, 191 
139, 769, 37, 195 
140, 759, 34, 208 
141, 754, 36, 211 
142, 755, 37, 209 
143, 750, 34, 217 
144, 743, 29, 229 
145, 737, 37, 227 
146, 745, 32, 224 
147, 748, 31, 222 
148, 751, 35, 215 
149, 751, 31, 219 
150, 747, 29, 225 
151, 750, 36, 215 
152, 749, 36, 216 
153, 748, 35, 218 
154, 755, 34, 212 
155, 758, 29, 214 
156, 755, 30, 216 
157, 757, 26, 218 
158, 762, 27, 212 
159, 749, 43, 209 
160, 748, 38, 215 
161, 734, 43, 224 
162, 738, 30, 233 
163, 734, 41, 226 
164, 724, 46, 231 
165, 727, 36, 238 
166, 720, 40, 241 
167, 730, 28, 243 
168, 732, 32, 237 
169, 727, 34, 240 
170, 724, 34, 243 
171, 716, 42, 243 
172, 729, 32, 240 
173, 715, 50, 236 
174, 719, 44, 238 
175, 721, 37, 243 
176, 723, 36, 242 
177, 730, 31, 240 
178, 727, 35, 239 
179, 736, 24, 241 
180, 732, 37, 232 
181, 726, 44, 231 
182, 730, 35, 236 
183, 722, 37, 242 
184, 728, 38, 235 
185, 732, 46, 223 
186, 733, 47, 221 
187, 719, 48, 234 
188, 728, 45, 228 
189, 720, 49, 232 
190, 723, 40, 238 
191, 716, 47, 238 
192, 715, 49, 237 
193, 715, 42, 244 
194, 720, 42, 239 
195, 714, 45, 242 
196, 715, 31, 255 
197, 710, 36, 255 
198, 714, 37, 250 
199, 715, 33, 253 
200, 712, 40, 249 
201, 700, 41, 260 
202, 702, 41, 258 
203, 697, 49, 255 
204, 698, 42, 261 
205, 697, 39, 265 
206, 686, 50, 265 
207, 694, 49, 258 
208, 691, 41, 269 
209, 700, 38, 263 
210, 704, 48, 249 
211, 724, 34, 243 
212, 710, 41, 250 
213, 714, 41, 246 
214, 710, 44, 247 
215, 708, 35, 258 
